model,group,n,f1_min,f1_norm,delta,ci95_lo,ci95_hi,p,significant
word_tfidf_lr,ALL,23970,0.7995,0.7982,-0.0012,-0.0038,0.0016,0.384,False
word_tfidf_lr,bangla_script,8656,0.7735,0.7709,-0.0026,-0.0067,0.0018,0.238,False
word_tfidf_lr,english,9077,0.8297,0.83,0.0004,-0.0036,0.0041,0.876,False
word_tfidf_lr,romanized,1376,0.7615,0.7538,-0.0077,-0.0225,0.0073,0.31,False
word_tfidf_lr,romanized_codemixed,3726,0.8016,0.8019,0.0003,-0.0082,0.0084,0.948,False
word_tfidf_lr,mixed_script,1135,0.8226,0.8279,0.0053,-0.0039,0.0145,0.296,False
word_tfidf_svm,ALL,23970,0.7998,0.7996,-0.0002,-0.0021,0.0016,0.862,False
word_tfidf_svm,bangla_script,8656,0.7715,0.7731,0.0017,-0.0003,0.0034,0.068,False
word_tfidf_svm,english,9077,0.8312,0.8317,0.0005,-0.0018,0.0027,0.704,False
word_tfidf_svm,romanized,1376,0.7576,0.7596,0.002,-0.0127,0.0151,0.768,False
word_tfidf_svm,romanized_codemixed,3726,0.8057,0.7987,-0.0069,-0.0151,0.0008,0.076,False
word_tfidf_svm,mixed_script,1135,0.8286,0.8292,0.0006,-0.0048,0.0056,0.846,False
char_tfidf_lr,ALL,23970,0.7854,0.786,0.0005,-0.0015,0.0026,0.608,False
char_tfidf_lr,bangla_script,8656,0.7595,0.7605,0.0009,-0.0019,0.0037,0.464,False
char_tfidf_lr,english,9077,0.8134,0.8138,0.0004,-0.0028,0.0037,0.808,False
char_tfidf_lr,romanized,1376,0.7554,0.7598,0.0044,-0.0072,0.0166,0.464,False
char_tfidf_lr,romanized_codemixed,3726,0.7869,0.7851,-0.0018,-0.0084,0.0048,0.578,False
char_tfidf_lr,mixed_script,1135,0.8097,0.8111,0.0015,-0.0065,0.0099,0.762,False
char_tfidf_svm,ALL,23970,0.7873,0.7877,0.0004,-0.0013,0.0022,0.648,False
char_tfidf_svm,bangla_script,8656,0.7615,0.7613,-0.0002,-0.0028,0.0023,0.868,False
char_tfidf_svm,english,9077,0.8152,0.8171,0.0019,-0.0009,0.0049,0.212,False
char_tfidf_svm,romanized,1376,0.7551,0.758,0.0028,-0.0082,0.0141,0.592,False
char_tfidf_svm,romanized_codemixed,3726,0.7893,0.7876,-0.0017,-0.0078,0.0039,0.57,False
char_tfidf_svm,mixed_script,1135,0.8119,0.8119,0.0,-0.0073,0.0073,1.0,False
