uid,group,label_raw,label,text_min,model_pred,provisional_category,annotator
7a701cbb995b3aab,romanized_codemixed,5,positive,Bad🤬🤬 eiTa choT ball game Ball na eita 🤬🤬🤬,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
79a85244c54fea52,bangla_script,2,negative,"প্রডাক্ট খুব তাড়াতাড়ি পেয়েছি ,দেখতে খুব সুন্দর কিন্তু চিন্তার বিষয় ম্যাগনেটিক কাজ করবে কিনা ?ম্যাগনেটিক দেখতে কেমন জেনো রংয়ের মত লাগছে !!! কাজ হলে ভালো, না হলে কিছু করার নাই ।ধন্যবাদ ।",positive,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
c7bb027eee0d1e00,romanized_codemixed,4,positive,valo vabe wrapping kora uchit chilo sathe mug o free dewar kotha. seta kothay? eta ki dhoron er protarona?? 😡,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
e0d1a9df6311d859,romanized_codemixed,5,positive,amar 2 ta sponge order chilo 1 ta dice,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
9de6a49905efdb91,romanized,3,negative,choto onek ta chara cute,positive,B_3star_boundary,"Claude (provisional, needs human check)"
6e8d1e11c88f84df,english,5,positive,Just open the package & see the door edge is a little bit loose. Very disappointed. Let's see the service.,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
f64ea94b90a7ba65,bangla_script,3,negative,এভারেজ লাগসে 😊,positive,B_3star_boundary,"Claude (provisional, needs human check)"
74ea59b98c1adc07,bangla_script,5,positive,দুইটা ঘড়ি নিলাম আপনাদের কাছ থেকে একটা হলুদ কালার একটা গোলাপী কালার গোলাপি কালার টা টাইম সেট করা যাচ্ছে না কাজ করে না,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
724fb452bbb0ec30,bangla_script,5,positive,প্যাকেটিক টা খুব বাজে ছিলো,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
7850c27124f18b04,bangla_script,4,positive,খুব পাতলা ডাস্ট প্যান দিয়েছে। মেয়াদ ১ বছর এর মত আছে। মোটামুটি,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
f933e879a4d47839,bangla_script,5,positive,দেখতে নর্মাল প্লাস্টিক। ভাবছিলাম নরমাল হবে। কিন্তু ব্যবহার করে বুঝলাম ঠকিনি। ১ মাস পুরা ব্যবহারেও এখনো ধার কমেনি 🙂 এমনে চললে তো ১০টা ব্লেডের বক্স টা খোলাই পড়বে না আর এ বছর। 😒,negative,D_genuine_model_error,"Claude (provisional, needs human check)"
d340096ab84e7e45,bangla_script,5,positive,"এটা একটা ফালতু প্রোডাক্ট, আধা ঘণ্টায় ডিস কালার",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
57ef7f5cad161833,bangla_script,5,positive,মোটামুটি ভালো চলে ১৫ দিন ব্যবহারের করার পরে রিভিউ দিচ্ছি সব ঠিক থাক আছে কিন্তু কানেকশন একলা একলাই ছেড়ে দেয়। এই সমস্যাটাই আছে।,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
87d01da5a6abc923,english,5,positive,"bad packaging, very dissatisfied",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
402ce4ba005d1750,romanized,2,negative,kubi valo ei cream,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
25092b2b1d42d0fc,romanized,5,positive,vai kub akta valo na,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
23708758d804b9eb,bangla_script,3,negative,প্রোডাক্টটা ভালো ছিল ভালো প্যাকেজিং এ এসেছিল কিন্তু আসতে খুব সময় লেগেছে,positive,B_3star_boundary,"Claude (provisional, needs human check)"
3fecb84a7165ea0d,romanized_codemixed,5,positive,"ja order koresi,se product den nai,Abar product return koresi,ekhono refund den nen nai",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
dbb6b7b70422d051,mixed_script,5,positive,orginal ki na janina প্যাকেজিং ভালো ছিল না আর নিব না দারাজ থেকে কোন কিছুই এভাবে লোক ঠকানো,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
484f111ad14c9228,bangla_script,5,positive,খুলেই ভাঙা পেয়েছি। রিটার্ন করতে চাইলেও নেন নি,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
d571568788361855,english,1,negative,body wash is a very good product.😊😊😊😊😊😊😊😋😋😋,positive,A_label_contradicts_text,"Claude (provisional, needs human check)"
f07c455e6e227fe1,romanized_codemixed,5,positive,"Ai watch ti belt khub cikon ladies watcher moto, light jolena,age akta watch niyecilam return korci tar taka akhono paini aj 14 din holo takata kobe pabo ,jamon dekhay tamon day na,",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
43882edfb342aa6e,english,5,positive,Leather quality is very poor,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
ac726bddff78f575,romanized_codemixed,5,positive,Ekdom baje ekta ghori 10/15 din use korar por rivew dicchi.... matro ei koidiner modhei ghorir dhar diye rong uthe moricha porar Moto hoye geche.... eto kharap Hobe eta asha kori nai....ei ghorita Kew niben na ei pricer modhe bazar theke ghori Nile er theke 100% better ghori pawa jabe....,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
7b9eb4df1a2ed868,bangla_script,5,positive,অন্য কালার ঘড়ী দিছে যে কালার অডার করছি সেটা দেয়নি,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
f0c467c398a601ab,bangla_script,4,positive,এটার সেনসিটিভির মাত্রা বেশী বলে প্লাস্টিক বডিতেও অনেক সময় নীল বাতি শো করে!!,negative,C_mixed_or_ambiguous,"Claude (provisional, needs human check)"
bc6c3bf283f3a15f,bangla_script,5,positive,"গত ২২ তারিখে কিবোর্ডটা পাই, কিবোর্ড আনারপরে ২-৩ দিন চালানো হয় নাই ২৪ তারিখে চালাবো তখন দেখলাম মাউসটা চলে কওন্তু কিবোর্ডটা চলেনা এটা খুবই হতাশাজনক।",negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
ce545c0cb3655a14,bangla_script,5,positive,চ্যাটে অনেক ভাবে অনুরোধ করেছিলাম চকলেট কালার দেওয়ার জন্য কিন্তু সেলার তাদের ইচ্ছেমতো অপ হোয়াইটই দিল এটা ঠিক হলো না।,negative,A_label_contradicts_text,"Claude (provisional, needs human check)"
2ec07b2f1ce983e2,bangla_script,3,negative,টাকা হিসেবে ভালো,positive,B_3star_boundary,"Claude (provisional, needs human check)"
