uid,group,label_raw,label,text_min,model_pred,annot_true_sentiment,annot_label_is_wrong,annot_note
7a701cbb995b3aab,romanized_codemixed,5,positive,Bad🤬🤬 eiTa choT ball game Ball na eita 🤬🤬🤬,negative,,,
79a85244c54fea52,bangla_script,2,negative,"প্রডাক্ট খুব তাড়াতাড়ি পেয়েছি ,দেখতে খুব সুন্দর কিন্তু চিন্তার বিষয় ম্যাগনেটিক কাজ করবে কিনা ?ম্যাগনেটিক দেখতে কেমন জেনো রংয়ের মত লাগছে !!! কাজ হলে ভালো, না হলে কিছু করার নাই ।ধন্যবাদ ।",positive,,,
c7bb027eee0d1e00,romanized_codemixed,4,positive,valo vabe wrapping kora uchit chilo sathe mug o free dewar kotha. seta kothay? eta ki dhoron er protarona?? 😡,negative,,,
e0d1a9df6311d859,romanized_codemixed,5,positive,amar 2 ta sponge order chilo 1 ta dice,negative,,,
9de6a49905efdb91,romanized,3,negative,choto onek ta chara cute,positive,,,
6e8d1e11c88f84df,english,5,positive,Just open the package & see the door edge is a little bit loose. Very disappointed. Let's see the service.,negative,,,
f64ea94b90a7ba65,bangla_script,3,negative,এভারেজ লাগসে 😊,positive,,,
74ea59b98c1adc07,bangla_script,5,positive,দুইটা ঘড়ি নিলাম আপনাদের কাছ থেকে একটা হলুদ কালার একটা গোলাপী কালার গোলাপি কালার টা টাইম সেট করা যাচ্ছে না কাজ করে না,negative,,,
724fb452bbb0ec30,bangla_script,5,positive,প্যাকেটিক টা খুব বাজে ছিলো,negative,,,
7850c27124f18b04,bangla_script,4,positive,খুব পাতলা ডাস্ট প্যান দিয়েছে। মেয়াদ ১ বছর এর মত আছে। মোটামুটি,negative,,,
f933e879a4d47839,bangla_script,5,positive,দেখতে নর্মাল প্লাস্টিক। ভাবছিলাম নরমাল হবে। কিন্তু ব্যবহার করে বুঝলাম ঠকিনি। ১ মাস পুরা ব্যবহারেও এখনো ধার কমেনি 🙂 এমনে চললে তো ১০টা ব্লেডের বক্স টা খোলাই পড়বে না আর এ বছর। 😒,negative,,,
d340096ab84e7e45,bangla_script,5,positive,"এটা একটা ফালতু প্রোডাক্ট, আধা ঘণ্টায় ডিস কালার",negative,,,
57ef7f5cad161833,bangla_script,5,positive,মোটামুটি ভালো চলে ১৫ দিন ব্যবহারের করার পরে রিভিউ দিচ্ছি সব ঠিক থাক আছে কিন্তু কানেকশন একলা একলাই ছেড়ে দেয়। এই সমস্যাটাই আছে।,negative,,,
87d01da5a6abc923,english,5,positive,"bad packaging, very dissatisfied",negative,,,
402ce4ba005d1750,romanized,2,negative,kubi valo ei cream,positive,,,
25092b2b1d42d0fc,romanized,5,positive,vai kub akta valo na,negative,,,
23708758d804b9eb,bangla_script,3,negative,প্রোডাক্টটা ভালো ছিল ভালো প্যাকেজিং এ এসেছিল কিন্তু আসতে খুব সময় লেগেছে,positive,,,
3fecb84a7165ea0d,romanized_codemixed,5,positive,"ja order koresi,se product den nai,Abar product return koresi,ekhono refund den nen nai",negative,,,
dbb6b7b70422d051,mixed_script,5,positive,orginal ki na janina প্যাকেজিং ভালো ছিল না আর নিব না দারাজ থেকে কোন কিছুই এভাবে লোক ঠকানো,negative,,,
484f111ad14c9228,bangla_script,5,positive,খুলেই ভাঙা পেয়েছি। রিটার্ন করতে চাইলেও নেন নি,negative,,,
d571568788361855,english,1,negative,body wash is a very good product.😊😊😊😊😊😊😊😋😋😋,positive,,,
f07c455e6e227fe1,romanized_codemixed,5,positive,"Ai watch ti belt khub cikon ladies watcher moto, light jolena,age akta watch niyecilam return korci tar taka akhono paini aj 14 din holo takata kobe pabo ,jamon dekhay tamon day na,",negative,,,
43882edfb342aa6e,english,5,positive,Leather quality is very poor,negative,,,
ac726bddff78f575,romanized_codemixed,5,positive,Ekdom baje ekta ghori 10/15 din use korar por rivew dicchi.... matro ei koidiner modhei ghorir dhar diye rong uthe moricha porar Moto hoye geche.... eto kharap Hobe eta asha kori nai....ei ghorita Kew niben na ei pricer modhe bazar theke ghori Nile er theke 100% better ghori pawa jabe....,negative,,,
7b9eb4df1a2ed868,bangla_script,5,positive,অন্য কালার ঘড়ী দিছে যে কালার অডার করছি সেটা দেয়নি,negative,,,
f0c467c398a601ab,bangla_script,4,positive,এটার সেনসিটিভির মাত্রা বেশী বলে প্লাস্টিক বডিতেও অনেক সময় নীল বাতি শো করে!!,negative,,,
bc6c3bf283f3a15f,bangla_script,5,positive,"গত ২২ তারিখে কিবোর্ডটা পাই, কিবোর্ড আনারপরে ২-৩ দিন চালানো হয় নাই ২৪ তারিখে চালাবো তখন দেখলাম মাউসটা চলে কওন্তু কিবোর্ডটা চলেনা এটা খুবই হতাশাজনক।",negative,,,
ce545c0cb3655a14,bangla_script,5,positive,চ্যাটে অনেক ভাবে অনুরোধ করেছিলাম চকলেট কালার দেওয়ার জন্য কিন্তু সেলার তাদের ইচ্ছেমতো অপ হোয়াইটই দিল এটা ঠিক হলো না।,negative,,,
2ec07b2f1ce983e2,bangla_script,3,negative,টাকা হিসেবে ভালো,positive,,,
52858538ca0aaca9,bangla_script,5,positive,"অর্ডার করলাম ২০০ গ্রামের আসলো ১০০ গ্রাম , এখন রিটার্ন ব্যাক করতে আমার এখন আবার ৭০ টাকা খরচ হচ্ছে, ফালতু, সবার কাছে অনুরোধ থাকলো কেউ এ সেলার থেকে কোন পণ্য অর্ডার করবেন না",negative,,,
4509f474193dc179,romanized_codemixed,5,positive,product peyechi time moto. kinto battery lagano nei. Alada vabe battery kinlam. kinto On hocche na.. product ta ki nosto???,negative,,,
854be00502577630,bangla_script,4,positive,ব্যাগ টা সুন্দর। কিন্তু মেইন কথা হলো ব্যাগের ভেতরে কোনো চেইন সিস্টেম নেই।ছোট একটা চেইন আছে।ফোন রাখা যাবে না এই খোলা ব্যাগে।চেইন না থাকার কারণে ফোন জিনিস পত্র রিস্কি হয়ে যাবে।,negative,,,
0b9164791f01082a,bangla_script,5,positive,"প্যাকেজিং ভালো ছিল না, মধু পরে গেছে। ম্যাচের কাঠি মধুতে ডুবানোর পর আগুন এর কাছে নিয়ে গেলে তা জ্বলেছিল, এতে বলা যায় যে মধু কাঠি। সেলারকে অনুরোধ করছি প্যাকেজিং ভালো করার জন্য।",negative,,,
1cd39d09f245c26f,english,5,positive,only one piece? is your mistake either my mistak? what to do now,negative,,,
1e0b0ec63ee28c84,english,5,positive,"I don't get phantom power to microphone divice contact cable. Please check and let me know what you will do, take necessary action.",negative,,,
3e817de8ff55f8ca,english,5,positive,I didn't get what I wanted,negative,,,
b23c72ffa8ef00b6,bangla_script,5,positive,একদমই বাজে প্রডাক্ট। কিনবেন তো ঠকবেন।বি টিভির মত জিরজির করে।লেনস খুবই জঘন্য। সবমিলিয়ে আমি খুবই বিরক্ত। আমার টাকাগুলো জলে গেল।,negative,,,
f783a02d36868a31,english,3,negative,Nice but quality better kortay hobay,positive,,,
d746ea1427cb6c49,romanized_codemixed,2,negative,This products real price is 254tk.,positive,,,
7ba433d7057953e0,bangla_script,5,positive,তিনটা নিয়েছিলাম একটা নষ্ট পাইছি,negative,,,
da111caddc699c7b,english,3,negative,could be better,positive,,,
269294d8f9758d05,romanized,5,positive,uptan ta khulei Dekhi fata half porei gese r half chilo,negative,,,
795e9a6511be19cc,bangla_script,1,negative,আলহামদুলিল্লাহ খুব ভাল সবাই ঠিক ছিল,positive,,,
38e95e19b96e8084,bangla_script,5,positive,পুরাই ফালতু। বাজে একটা গন্ধ। বাজে তেল দিয়ে ভাজা হইছে।,negative,,,
931f2fedf0ccf6d2,english,4,positive,fan is not that speedy.,negative,,,
7458dd71b8d3c5a1,bangla_script,1,negative,আলহামদুলিল্লাহ অনেক ভালো যা চাইছি তাই পাইছি৷ ধন্যবাদ দারাজ,positive,,,
6cc5ad8389d64e18,bangla_script,5,positive,চাপটার জায়গায় তিনটা দিছে দাম নিয়েছেন চারটার পাঠাইছেন তিনটা বাটপারি করার জায়গা পান না কেউ কিনবেন না ফালতু,negative,,,
53d85c9c57a1662a,bangla_script,1,negative,দাম হিসেবে কোয়ালিটি নরমাল তবে সুন্দর,positive,,,
5621150482c788ac,english,3,negative,not like the original but still good,positive,,,
158ca26c44042027,bangla_script,5,positive,দারাজ মল এত বাজে ভাবে প্যাকেট করেছে যে আমার বক্সের মুখ ভেংগে গেছে। ছি এমন কিপটামি করার কি দরকার ছিল?? দাম তো আর কম নেন নাই.....,negative,,,
279195fc05cef7bb,english,3,negative,"The seller was good. But i had received wrong product and later the seller helps me to returned that,and he gave me the money back. Thanks seller, he is responsible and great honor for him. Thanks draz for making such space to buye authentic things and products from all over the world.",positive,,,
4bfc7fcc7b6380e5,romanized_codemixed,5,positive,very bad vabsilam valo hobe 😡,negative,,,
70e1f873cfac6ee4,bangla_script,5,positive,পরিমানে বেশি দিতে হয়। মান আরো ভালো করতে হবে।,negative,,,
12e633cd750dbe07,english,5,positive,"𝖿𝖺𝖻𝗋𝗂𝖼 𝗊𝗎𝖺𝗅𝗂𝗍𝗒 𝗂𝗌 𝗇𝗈𝗍, very poor quality you should improved the fabric quality and design.",negative,,,
faa2b55100a1a82f,bangla_script,1,negative,এটা ভালো ছিল ধন্যবাদ,positive,,,
841ce5a1cba87f15,bangla_script,5,positive,এটা তো একটা খেলনা কিবোর্ড । কম্পিউটারে চলেনা।,negative,,,
fa3dba9c3d8452df,romanized,4,positive,1 ta packet chera chilo,negative,,,
b583941b82ecc177,bangla_script,5,positive,কি বলবো নষ্ট জিনিস দিয়ে দারাজ বিজনেস করে। এইটা কোন লাইন পায়না। আমার টাকাটাই বেথ্যা গেলো।কি ভাবে ফেরত দেওয়া যায় যানালে উপকৃত হব।,negative,,,
b6a409ea63241118,bangla_script,1,negative,আলহামদুলিল্লাহ টিক সময়ের আগে জিনিসটা হাতে পেয়েছি খুব ভালো আপনারা চাইলে নিতে পারেন,positive,,,
15b54197e8d0187a,bangla_script,4,positive,"বইগুলো মোটামুটি ভাল, কারণ বইয়ের প্রথম পাতা ও লাস্ট পাতা লেমিনিটিং বাকিগুলো নরমাল কাগজের।।",negative,,,
7e9f81b7fcf735ab,english,5,positive,i can't find any cover inside. where is my bag cover,negative,,,
0508ee0a55d430d2,romanized,3,negative,biscuit 🍪 gulo valo chilo onek yummy 😋,positive,,,
24d075dd00dcef89,bangla_script,3,negative,"পণ্য সম্পূর্ণ ভালো, মেয়াদও যথেষ্ট ছিল। তবে দুই প্যাকেট অর্ডার করলেও আমাকে পাঠানো হয়েছিল এক প্যাকেট, ভিডিও করে রেখেছিলাম তাই রিফান্ড নিতে পেরেছি।",positive,,,
a06bdeb5fbc5bc1c,bangla_script,5,positive,পাতলা মনে হয় পানি মিশিয়ে দেওয়া। ব্যাপারটা বুঝলাম না,negative,,,
c6b385c060be6378,bangla_script,5,positive,আসলে আমি আসা করছিলাম প্রোডাক্ট টা ভালো হবে কিন্তু আসলে প্রোডাক্ট টা ২ নাম্বার দিছে অরিজিনাল গুদ্রেজ দেয়নাই।,negative,,,
47a3fc531b6fdefa,bangla_script,3,negative,দেখতে ভালোই,positive,,,
1e48b6f18343a93a,romanized_codemixed,4,positive,Watch all good but receive a call not showing the contact number name. Only show number,negative,,,
43b994b1f9bdd924,english,5,positive,its a scam its so low quality and small but the pakjing was good,negative,,,
f86c4d36242c6528,bangla_script,2,negative,ঠিকই পেয়েছি,positive,,,
22b074d1f63b34c4,bangla_script,5,positive,"পিকচার একটা আর প্রডাক্ট ডেলিভারি দিছে আর একটা। একদম নিম্নমানের কোন ভাবে কাপড় দিয়ে বানানো। ৩ টা ৩ সাইজ এর, কোন সাইজ বাইজ এর ঠিক ঠিকানা নাই। জাস্ট একটা কাপড় পাঠাইছে আর কিছু না। টাকা বেকার।",negative,,,
baed7753f3091991,romanized_codemixed,1,negative,peket valo cilo amr dekte onk valo lagce big thanks daraz k ami protom nisi j daraz teke kinto amk sob golo ak sate de nai akta akta kore dicce j amr onk kostu hocce,positive,,,
d9d057204d100c04,bangla_script,5,positive,ব্যাটারী চার্জ হয়না।,negative,,,
2dd5e781de1de785,english,5,positive,I order Levender oil but you have given me rosemary oil.Is it fair?,negative,,,
5c1e3d7a11284ed9,romanized_codemixed,4,positive,eta 100% chash er modhu. plus etar smell khubie baje lagse. dam o prochur nise. amar kache sundarban mix honey / flower honey better lage. etar taste khubie baje...,negative,,,
9022de5a8086ae97,bangla_script,5,positive,খুব একটা ভালো মানের নয়,negative,,,
db0792fe517a6c46,romanized_codemixed,3,negative,"betray te problem cilo, product quality valo. Chaile nite paren.",positive,,,
f9991152fc653324,bangla_script,5,positive,"ফালতু একটা ঘড়ি,রংটা মনে হয় ৫ দিন ও থাকবে না???",negative,,,
57b5ccc8c4ae24bb,bangla_script,4,positive,"নুডুলস গুলো ঠিকাছে, নুডুলস স্টিক গুলো মোটা ছিলো!! এক্সফায়ার ডেট ও এনাফ ছিলো। কিন্তু নুডুলসের প্যাকের নিচের দিকে দুইটা ফুটা পেয়েছিলাম, যার কারণে ফুটোর মধ্যে দিয়ে বাতাস আসা যাওয়া করছিলো!!! মেশিনারি ফল্ট মনে হচ্ছে!!",negative,,,
ed031bcbf00c37c7,english,1,negative,"The colors of the lipstick are very beautiful, you can take it if you want, and the use of the seller's brother is very good.",positive,,,
9e8c075c3ecb580d,english,5,positive,"Plz check all products before shipping , it is very disappointing to receive a defective item ... or not original.... ... it is second time to me . 1st time I got copy , this time defective ( water licks from two rivet) ... As you don’t have instant return option ... I’m not sure l am going to buy further or not .",negative,,,
6f0ac21405865a2a,english,5,positive,chocolate was totally broken,negative,,,
03de1137f4cf174e,bangla_script,5,positive,"প্রথম ব্যবহারের পদ্ধতি বুঝিনি, নরমাল ব্রাশের মত ব্রাশ করতে হয় তাহলে দাঁত পরিষ্কার হয়। এখন ভালো লাগছে। যে ফাংশনগুলো দিয়েছে আমার কাছে কাজের মনে হয়নি। শুধুমাত্র প্রথমটাই কাজের মনে হয়েছে, আরেকটি ব্যাপার ভালো লাগেনি, ফ্রি চারটে মাথা, আর বাঁশের সাথে লাগানো মাথা একরকম না.",negative,,,
0eebf8d1074d2ed7,english,3,negative,good for all content creator 💝,positive,,,
