model,C,val_macro_f1
word_tfidf_lr,0.5,0.784
word_tfidf_lr,1.0,0.7901
word_tfidf_lr,2.0,0.7918
word_tfidf_lr,4.0,0.7934
word_tfidf_lr,8.0,0.7889
word_tfidf_lr,16.0,0.78
word_tfidf_svm,0.03,0.776
word_tfidf_svm,0.1,0.7904
word_tfidf_svm,0.3,0.7933
word_tfidf_svm,1.0,0.7824
char_tfidf_lr,0.5,0.773
char_tfidf_lr,1.0,0.7768
char_tfidf_lr,2.0,0.7796
char_tfidf_lr,4.0,0.7806
char_tfidf_lr,8.0,0.7784
char_tfidf_lr,16.0,0.7697
char_tfidf_svm,0.03,0.769
char_tfidf_svm,0.1,0.7776
char_tfidf_svm,0.3,0.7794
char_tfidf_svm,1.0,0.7742
